sr_no,date,startup,industry,sub_vertical,city,investors,investment_type,amount_usd,amount_inr_crore,year,month
2562,2015-08-28,BetterButter.in,online recipe sharing platform,Other,New Delhi,"Growx Ventures, Manish Singhal",Seed Funding,0.0,0.0,2015,August
2563,2015-08-28,Vyomo,Beauty & Lifestyle Mobile Marketplace,Other,Bengaluru,Rocket Internet,Private Equity,2000000.0,16.8,2015,August
2564,2015-08-28,RollMafia,QSR Restaurant Chain,Other,Pune,Equentia Natural Resources,Seed Funding,160000.0,1.34,2015,August
2565,2015-08-29,iamwire,Digital Media publishing platform,Other,Gurugram,"Li Tao, Li Jian, Draphant Consultants, Nitin Garg, Saurabh Jain, Mohit Agarwal",Seed Funding,0.0,0.0,2015,August
2566,2015-08-31,DropKaffe,Online Coffee Delivery platform,Other,Bengaluru,"Manish Singhal, P39 Capital & Others",Seed Funding,300000.0,2.52,2015,August
2567,2015-08-31,Reverie,Language Localization Cloud platform,Other,Bengaluru,"Aspada Investment Advisors, Blume Ventures.",Private Equity,4000000.0,33.6,2015,August
2568,2015-08-31,Infinite Analytics,Big Data & predictive Analysis Platform,Other,Mumbai,"Ratan Tata, Nikhil Vora & Others",Private Equity,0.0,0.0,2015,August
2569,2015-07-01,Parcelled,Online Logistics Platform,Other,Bengaluru,"Delhivery, Tracxn Labs",Seed Funding,0.0,0.0,2015,July
2570,2015-07-01,Retigence Technologies,Business IT Intelligence Services,Other,Mumbai,Omnivore Partners,Private Equity,0.0,0.0,2015,July
2571,2015-07-01,Cloudcherry Analytics,CRM / Analytics platform,Other,Chennai,"The Chennai Angels, Idg Ventures India",Seed Funding,1000000.0,8.4,2015,July
2572,,HandyHome,Hyperlocal Electronics repair Service,Other,Mumbai,"Bessemer Ventures, Kae Capital",Seed Funding,630000.0,5.29,2016,Unknown
2573,2015-07-01,iDreamCareer,Ed-Tech Platform,Other,New Delhi,"Ah! Ventures, Vivek Joshi, Mohit Satyanand & Others",Seed Funding,0.0,0.0,2015,July
2574,2015-07-01,Ola Cabs,Cab rental Mobile app,Other,Bengaluru,Rata Tata,Private Equity,0.0,0.0,2015,July
2575,2015-07-01,NxtGen,IT infrastructure & Data Center services,Other,Bengaluru,"Ifc, Axon Partners, Intel Capital",Private Equity,13500000.0,113.4,2015,July
2576,2015-07-02,BankBazaar,Online Financial Services,Other,Chennai,"Amazon, Fidelity Growth Partners, Mousse Partners",Private Equity,60000000.0,504.0,2015,July
2577,2015-07-02,Gozoomo,Used Car Marketplace,Other,Bengaluru,Saif Partners,Private Equity,5000000.0,42.0,2015,July
2578,2015-07-02,Zenatix,Internet of Things platform,Other,Gurugram,"Rajan Anandan, Kunal Bahl, Rohit Bansal, Rahul Khanna",Seed Funding,161000.0,1.35,2015,July
2579,2015-07-03,CultureAlley,Language Learning App,Other,Jaipur,Tiger Global,Private Equity,6500000.0,54.6,2015,July
2580,2015-07-03,Goqii,Mobile Fitness Marketplace,Other,Mumbai,Vijay Shekhar Sharma,Private Equity,0.0,0.0,2015,July
2581,2015-07-03,Gingercrush,Custom Merchandize platform,Other,Ahmedabad,"Gokul Jaykrishna, Brand Capital",Seed Funding,1000000.0,8.4,2015,July
2582,2015-07-04,Elanic,P2P Pre-owned goods marketplace,Other,Bengaluru,"Rebright Partners, Tracxn Labs, Aneesh Reddy",Seed Funding,0.0,0.0,2015,July
2583,2015-07-04,Stitchwood,Custom Furniture Marketplace,Other,Mumbai,"Powai Lake Ventures, Ajeet Khurana & Others",Seed Funding,395000.0,3.32,2015,July
2584,2015-07-05,Urban Tailor,Online Tailoring Services,Other,Bengaluru,Group Of 15 Angel Investors,Seed Funding,0.0,0.0,2015,July
2585,2015-07-06,ConfirmtTkt,Rail Ticket Confirmation predictor,Other,Bengaluru,Pravin Agarwala & Others,Seed Funding,0.0,0.0,2015,July
2586,2015-07-06,Paper Boat,Ethnic Beverages manufacturer,Other,Gurugram,"Sofina, Hillhouse Capital",Private Equity,30000000.0,252.0,2015,July
2587,2015-07-06,getNow,Hyperlocal Goods marketplace,Other,Nagpur,Atulya Mittal,Seed Funding,0.0,0.0,2015,July
2588,2015-07-07,Wudstay,Budget Accommodation aggregator,Other,Gurugram,"Mangroves Capital Partners, Vikas Saxena",Private Equity,3000000.0,25.2,2015,July
2589,2015-07-07,Liases Foras,Real Estate Rating & Analysis,Other,New Delhi,Dmg Information Asia Pacific,Private Equity,5000000.0,42.0,2015,July
2590,2015-07-07,Eatlo,Food Delivery platform,Other,Bengaluru,"Powai Lake Ventures, Globeinvestor, Abhishekh Goyal",Seed Funding,0.0,0.0,2015,July
2591,2015-07-07,IndiaLends,Financial Tech,Other,New Delhi,"Dsg Consumer Partners, Siddharth Parekh",Private Equity,0.0,0.0,2015,July
2592,2015-07-08,Quinto,Food Discovery App,Other,Pune,Jaydeep Barman,Seed Funding,0.0,0.0,2015,July
2593,2015-07-08,Saavn,Music Streaming App,Other,Mumbai,"Tiger Global Management, Bertelsmann India, Steadview Capital, Liberty Media, Mousse Partners, Quilvest",Private Equity,100000000.0,840.0,2015,July
2594,2015-07-08,Flytxt,Big Data & Analytics platform,Other,Mumbai / Global,"Sunrise Capital Gmbh, Big Data Investments B.V",Private Equity,11000000.0,92.4,2015,July
2595,2015-07-08,Axtria,Big Data & Analytics platform,Other,India / US,"Helion Venture Partners,Amarpreet Sawhney, Deshpande Foundation, Fred Khosravi, Richard S. Braddock",Private Equity,30000000.0,252.0,2015,July
