sr_no,date,startup,industry,sub_vertical,city,investors,investment_type,amount_usd,amount_inr_crore,year,month
1,2020-01-09,BYJU’S,E-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity Round,200000000.0,1680.0,2020,January
2,2020-01-13,Shuttl,Transportation,App based shuttle service,Gurugram,Susquehanna Growth Equity,Series C,8048394.0,67.61,2020,January
3,2020-01-09,Mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,18358860.0,154.21,2020,January
4,2020-01-02,wealthbucket.in,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,3000000.0,25.2,2020,January
5,2020-01-02,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,1800000.0,15.12,2020,January
6,2020-01-13,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,9000000.0,75.6,2020,January
7,2020-01-10,Zomato,Hospitality,Online Food Delivery Platform,Gurugram,Ant Financial,Private Equity Round,150000000.0,1260.0,2020,January
8,2019-12-12,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6000000.0,50.4,2019,December
9,2019-12-06,CarDekho,E-Commerce,Automobile,Gurugram,Ping An Global Voyager Fund,Series D,70000000.0,588.0,2019,December
10,2019-12-03,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,50000000.0,420.0,2019,December
11,2019-12-13,Rivigo,Technology,Logistics Services and Solutions,Gurugram,"Saif Partners, Spring Canter Investment Ltd.",Series F,20000000.0,168.0,2019,December
12,2019-12-17,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"Paytm, Nptk, Sabre Partners And Neoplux",Series C,12000000.0,100.8,2019,December
13,2019-12-16,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,30000000.0,252.0,2019,December
14,2019-12-16,InCred,Finance,Non-Banking Financial Company,Mumbai,Undisclosed,Debt Funding,5900000.0,49.56,2019,December
15,2019-12-14,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,2000000.0,16.8,2019,December
16,2019-12-11,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education And Medical Group,Seed Round,50000000.0,420.0,2019,December
17,2019-12-20,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,Softbank Vision Fund,Series G,231000000.0,1940.4,2019,December
18,2019-11-13,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, Capitalg, Accel",Series H,150000000.0,1260.0,2019,November
19,2019-11-14,Misters,Health and wellness,Men's Health and Wellness brand,Gurugram,"Sauce.Vc, Rainforest Ventures",Series B,486000.0,4.08,2019,November
20,2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurugram,"Prime Venture Partners, Letsventure, Ps1 Venture And Globallogic Co-Founder Rajul Garg",Seed,1500000.0,12.6,2019,November
21,2019-11-17,Burger Singh,Food and Beverage,Indian Burger Brand,Gurugram,Rb Investments,Venture,0.0,0.0,2019,November
22,2019-11-18,Healthians,Health and Wellness,Healthcare services,Gurugram,"Dg Daiwa Ventures, Dg Incubation",Series B,12000000.0,100.8,2019,November
23,2019-11-15,Ninjacart,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,26000000.0,218.4,2019,November
24,2019-11-20,Aye Finance,FinTech,Financial Services To MSMEs,Gurugram,Fintech,Debt Funding,17411265.0,146.25,2019,November
25,2019-11-12,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,1300000.0,10.92,2019,November
26,2019-11-20,Clumio,SaaS,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,135000000.0,1134.0,2019,November
27,2019-11-11,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,300000.0,2.52,2019,November
28,2019-11-19,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,New Delhi,Amour Infrastructure,Seed Funding,220000000.0,1848.0,2019,November
29,2019-11-18,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & Van Haaren, Healthquad, Rebright Partners, Toppan Printing",Series B,15800000.0,132.72,2019,November
30,2019-11-15,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,283000000.0,2377.2,2019,November
31,2019-11-19,Furtados School of Music,Education,Music Education,Tulangan,Ian Fund And Dsg Consumer Partners,Undisclosed,200000000.0,1680.0,2019,November
32,2019-11-25,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,1000000000.0,8400.0,2019,November
33,2019-10-04,Dunzo,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,45000000.0,378.0,2019,October
34,2019-10-02,Udaan,B2B,Business development,Bengaluru,"Altimeter Capital, Dst Global",Series D,585000000.0,4914.0,2019,October
35,2019-10-21,The Man Company,Consumer Goods,Beauty and Grooming,Gurugram,Ayushmann Khurana,Corporate Round,0.0,0.0,2019,October
36,2019-09-05,FPL Technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,4500000.0,37.8,2019,September
37,2019-09-04,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,Saif Partners,Series A,3300000.0,27.72,2019,September
38,2019-09-04,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,Tiw Private Equity,Private Equity Round,6000000.0,50.4,2019,September
39,2019-09-04,3rdFlix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,pre-series A,5000000.0,42.0,2019,September
40,2019-09-04,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,18000000.0,151.2,2019,September
41,2019-09-04,Myelin Foundry,Information Technology,Deep-technology,Bengaluru,Endiya Partners,Seed,1000000.0,8.4,2019,September
42,2019-09-04,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,10000000.0,84.0,2019,September
43,2019-09-04,GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman And Company Ltd,Series C,450000000.0,3780.0,2019,September
44,2019-09-03,Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,"India Quotient, Axilor Ventures",Series A,5000000.0,42.0,2019,September
45,2019-08-01,CarDekho,E-Commerce,Automotive,Gurugram,Sc Gg India Mobility Holdings Llc,Series C,20000000.0,168.0,2019,August
46,2019-08-01,Progcap,Finance,Supply Chain Management,New Delhi,Sequoia India,Series A,5000000.0,42.0,2019,August
47,2019-08-01,MyPetrolPump,Retail,Fuel Delivery,Bengaluru,Undisclosed,Seed Funding Round,1600000.0,13.44,2019,August
48,2019-08-01,Alteria Capital,Finance,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,140000000.0,1176.0,2019,August
49,2019-08-01,Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,38080000.0,319.87,2019,August
50,2019-08-12,Meesho,E-Commerce,Social Commerce,Bengaluru,Naspers,Series D,125000000.0,1050.0,2019,August
51,2019-08-13,Cars24,E-Commerce,Car Retail,Gurugram,Ms Dhoni,Series D,11000000.0,92.4,2019,August
52,2019-08-13,Uniphore,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,Series C,51000000.0,428.4,2019,August
53,2019-08-23,Zendrive,Automotive,Road Safety Analytics,San Francisco,Xl Innovate,Series B,37000000.0,310.8,2019,August
54,2019-08-23,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,"Rashmi Daga, Raveen Sastry And Mitesh Shah",Seed Round,500000.0,4.2,2019,August
55,2019-08-23,Tala,FinTech,Digital Lending Platform,Santa Monica,Rps Ventures,Series D,110000000.0,924.0,2019,August
56,2019-08-22,INDwealth,FinTech,Wealth Management,Gurugram,Tiger Global Management,Venture Round,15000000.0,126.0,2019,August
57,2019-08-21,HungerBox,Food and Beverage,B2B Foodtech,Bengaluru,One97 Communication Ltd,Series C,6590000.0,55.36,2019,August
58,2019-08-23,AdmitKard,EdTech,University Admissions,Noida,Growth Dna,Seed Round,1000000.0,8.4,2019,August
59,2019-08-19,Mishry Reviews,Services,Product Review,Gurugram,Vir Sanghvi,Series A,0.0,0.0,2019,August
60,2019-08-19,Grofers,E-Commerce,Grocery Delivery,Gurugram,Softbank Vision Fund,Series F,70000000.0,588.0,2019,August
61,2019-08-27,Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,3900000000.0,32760.0,2019,August
62,2019-07-02,RenewBuy,Finance,Auto Insurance,Gurugram,"Lok Capital, Iifl Wealth",Series B,19000000.0,159.6,2019,July
63,2019-07-02,Atlan,Information Technology,Big Data,Singapore,Waterbridge Ventures,Pre-Series A,2500000.0,21.0,2019,July
64,2019-07-01,WizCounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel,145000.0,1.22,2019,July
65,2019-07-03,Ola Cabs,Transport,Cabs,Kormangala,"Dig Investment Ab, Deshe Holdings, Samih Toukan And Hussam Khoury",Series J,1000000.0,8.4,2019,July
66,2019-07-01,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,38080000.0,319.87,2019,July
67,2019-07-04,Daalchini Technologies,Food and Beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Round,500000.0,4.2,2019,July
68,2019-07-10,"""BYJU\\'S""",EdTech,Education,Bengaluru,Qatar Investment Authority,Private Equity Round,150000000.0,1260.0,2019,July
69,2019-07-11,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,60000000.0,504.0,2019,July
70,2019-07-10,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,16000000.0,134.4,2019,July
71,2019-07-10,Indus OS,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,5750000.0,48.3,2019,July
72,2019-07-10,HealthAssure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,2500000.0,21.0,2019,July
73,2019-07-09,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,1000000.0,8.4,2019,July
74,2019-07-08,Board Infinity,EdTech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,319605.0,2.68,2019,July
75,2019-06-05,NoBroker,E-Commerce,Real Estate,Bengaluru,General Atlantic,Series C,51000000.0,428.4,2019,June
76,2019-06-04,Bira91,Food and Beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,10000000.0,84.0,2019,June
77,2019-06-03,FabHotels,E-Commerce,Hospitality,Gurugram,"Goldman Sachs, Accel Partners And Qualcomm",Undisclosed,4889975.54,41.08,2019,June
78,2019-06-03,Avail Finance,Finance,FinTech,Bengaluru,Matrix Partners,Series A,9000000.0,75.6,2019,June
79,2019-06-04,BharatPe,Finance,FinTech,New Delhi,Insight Partners,Series B,75000000.0,630.0,2019,June
80,2019-06-04,Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries Director Ajay Parekh",pre-Series A,26000000.0,218.4,2019,June
81,2019-06-03,Agara Labs,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures And Rtp Global,pre-Series A,2500000.0,21.0,2019,June
82,2019-06-06,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,"Shell Foundation, Dila Capital, Engie Rde Fund, Ecoenterprise Fund, Edfimc, Endeavor Catalyst Fund, Cocapital, Triodos, Alpha Mundi, And Lendahand",Undisclosed,2739034.68,23.01,2019,June
83,2019-06-06,Chakr Innovation,Energy,Renewable Energy,New Delhi,Ian Fund,Series A,26000000.0,218.4,2019,June
84,2019-06-06,Pratilipi,Digital Media,E-Books,Bengaluru,Qiming Venture Partners,Series B,15109500.0,126.92,2019,June
85,2019-06-10,Bolo App,Digital Media,Video Platform,Bengaluru,Nexus Venture Partners,Seed Funding,430200.0,3.61,2019,June
86,2019-06-10,OkCredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,15500000.0,130.2,2019,June
87,2019-06-06,Biz2Credit,FinTech,Online Lending Platform,New York,Westbridge Capital,Series B,52000000.0,436.8,2019,June
88,2019-06-08,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,3584000.0,30.11,2019,June
89,2019-06-04,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,3400000.0,28.56,2019,June
90,2019-05-06,Ola Electric,Transport,Cabs,Bengaluru,Tata Sons,Series A,0.0,0.0,2019,May
91,2019-05-06,Saahas Zero Waste,Waste Management Service,Optimization,Bengaluru,C4D Partners,Venture - Series Unknown,868600.0,7.3,2019,May
92,2019-05-05,StyleDotMe,E-commerce,Fashion and Shopping,New Delhi,"Indian Angel Network And Other Angel Investors, Innov8 Founder Ritesh Malik, Josh Talks Founders Supriya Paul And Shobha Banga, And Former Hero Corporate President Rohit Chanana",Bridge Round,0.0,0.0,2019,May
93,2019-05-01,BlackBuck,Transport,Logistics,Bengaluru,"Goldman Sachs Investment Partners And Silicon Valley-Based Accel, Wellington, Sequoia Capital, B Capital, Lightstreet, Sands Capital And International Finance Corporation,",Series D,150000000.0,1260.0,2019,May
94,2019-05-02,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,50000000.0,420.0,2019,May
95,2019-05-28,Ather Energy,Automobile,Electric Vehicle,Bengaluru,Sachin Bansal,Series C,51000000.0,428.4,2019,May
96,2019-05-28,FreshVnF,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Round,140000000.0,1176.0,2019,May
97,2019-05-30,GlowRoad,E-commerce,Retail,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,11500000.0,96.6,2019,May
98,2019-05-31,Bira91,Food and Beverage,Brewery,New Delhi,Sixth Sense Ventures,Series B,5600000.0,47.04,2019,May
99,2019-04-16,Kuvera,Finance,Wealth Management,Bengaluru,Eight Roads,Series A,45000000.0,378.0,2019,April
100,2019-04-12,Medlife,E-commerce,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity,17000000.0,142.8,2019,April
101,2019-04-10,Kabadiwala,E-commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, Abcom Investments, Parekh Marine Transport,",Private Equity,430665.0,3.62,2019,April
102,2019-04-13,Tripoto,Social Media,Travel,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures, 3One4 Capital, Lasmer Nv",Series B,3591375.0,30.17,2019,April
103,2019-04-12,Azah,Health and Wellness,Organic wellness,Gurugram,Unnamed Angel Investors,Seed Funding,200000.0,1.68,2019,April
104,2019-04-11,Setu,Fintech,Banking,Bengaluru,Lightspeed India Partners,Seed Funding,3500000.0,29.4,2019,April
105,2019-04-10,Toppr,Edtech,E-learning,Mumbai,Milestone,Debt and Preference capital,6320820.0,53.09,2019,April
106,2019-04-10,Craftsvilla,E-commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,2443495.0,20.53,2019,April
107,2019-04-10,Unacademy,Edtech,E-learning,Bengaluru,Kalyan Krishnamurthy,Seed/ Angel Funding,307000.0,2.58,2019,April
108,2019-04-11,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,26000000.0,218.4,2019,April
109,2019-04-19,My Healthcare,E-commerce,Software Solutions,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,3000000.0,25.2,2019,April
110,2019-04-19,KrazyBee,E-commerce,Lending Platform,Bengaluru,"Bac Acquisitions, Unifi Aif, Brd Securities, Northern R Capital",Debt,0.0,0.0,2019,April
111,2019-04-17,Shuttl,Transportation,Bus Aggregation,Gurugram,New Atlantic Ventures,Venture Round,5000000.0,42.0,2019,April
112,2019-04-17,Increff,Technology,Supply-chain technology solutions,Bengaluru,"021 Capita, Binny Bansal",Series A,3000000.0,25.2,2019,April
113,2019-02-01,FleetX,AI,Logistics,Gurugram,India Quotient And Letsventure\\Xe2\\X80\\X99S Angel Fund,Pre Series A,0.0,0.0,2019,February
114,2019-02-08,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,"Sequoia Capital And Temasek Holdings, Edbi, Burda Principal Investments, And Sofina",Series D,226000000.0,1898.4,2019,February
115,2019-02-13,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,"Letsventure, Pitchright Venture, 91Springboard, Al Nour International Holdings And Mark V Investments",Series A,600000.0,5.04,2019,February
116,2018-02-14,OyoRooms,Hospitality,Budget Rooms,Gurugram,Didi Chuxing,Equity,100000000.0,840.0,2018,February
117,2019-01-03,CarDekho,Automobile,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\Xe2\\X80\\X99S Growth Investment Arm Capital G And Axis Bank",Series C,110000000.0,924.0,2019,January
118,2019-01-04,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital And Kalaari Capital",Series D,22000000.0,184.8,2019,January
119,2019-01-04,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-banking financial company,Chennai,"Massif, A Dutch Government Fund",Debt-Funding,5000000.0,42.0,2019,January
120,2018-12-04,Manch,Social Media,Hyperlocal Content,New Delhi,Stellaris Venture Partners,Seed Funding,700000.0,5.88,2018,December
121,2018-12-01,UrbanClap Technologies Pvt. Ltd,Services Platform,Home services marketplace,New Delhi,Steadview Capital And Vy Capital.,Series D,50000000.0,420.0,2018,December
122,2018-12-02,Guiddoo,Travel Tech,Platform for travel agents,Mumbai,Individual Investors,Pre-Series A,800000.0,6.72,2018,December
123,2018-12-02,Career Anna,Online Education,"Video-based certification, trainings",Gurugram,Individual Investors,Pre-Series A,572000.0,4.8,2018,December
124,2018-12-04,Nagpur Wholesale,Online Marketplace,eCommerce,Nagpur,Omphalos Ventures India Llp,Seed Funding,143000.0,1.2,2018,December
125,2018-12-06,ShopKirana,B2B,eCommerce,Indore,"Info Edge, Aet Fund, Akatsuki And Incubate Fund From Japan And Better Capital Angellist Syndicate.",Seed Funding,2000000.0,16.8,2018,December
126,2018-12-06,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,"Venture Highway, Gree Ventures, Space Matrix, Individual Investors",Series A,3500000.0,29.4,2018,December
127,2018-11-01,GoDesi,Food and Beverage,Regional Flavours,Bengaluru,Lead Angel Network,Seed/ Angel Funding,138995.0,1.17,2018,November
128,2018-11-03,Veritas Finance Ltd.,NBFC,MSME Finance,Chennai,"Norwest Venture Partners, Cdc Group, The Uk\\Xe2\\X80\\X99S Development Finance Institution And P Surendra Pai",Series D,27799000.0,233.51,2018,November
129,2018-11-06,Meesho,Ecommerce,Social Commerce,Bengaluru,"Shunwei Capital, Dst Partners And Rps Ventures",Series C,50000000.0,420.0,2018,November
130,2018-11-08,Mobile Premier League,Gaming,Mobile e-Sports,Bengaluru,Undisclosed,Series A,500000.0,4.2,2018,November
131,2018-11-08,A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,"Rb Investments, Singapore",Equity,1000000.0,8.4,2018,November
132,2018-11-12,Blackbuck,Food Tech,POS For Online Ordering,"New York, Bengaluru",Tiger Global,Series A,1000000.0,8.4,2018,November
133,2018-11-12,MilkBAsket,Food,Micro-delivery grocery service,New Delhi,Mayfield Fund,Series B,1300000.0,10.92,2018,November
134,2018-11-13,DriveU,Transport,On-Demand Drivers,Bengaluru,Stevens Creek Ventures,Mezzanine,1000000.0,8.4,2018,November
135,2018-11-14,CleanseCar,Services,Car Wash,Bengaluru,Venture Catalysts,Seed/ Angel Funding,500000.0,4.2,2018,November
136,2018-11-19,Automation Anywhere,Automation,Robotics,California,Softbank Vision Fund,Series B,300000000.0,2520.0,2018,November
137,2018-11-20,HealthifyMe,Health and Wellness,Wellness Coach,Bengaluru,"Sistema Asia Fund, Vc Samsung Next, Chiratae Ventures, Inventus Capital, Blume Ventures And Innoven Capital.",Series B (Extension),6000000.0,50.4,2018,November
138,2018-11-21,Genius Corner,Education,Personalized Learning,Noida,Individual Investors,Seed Funding,278000.0,2.34,2018,November
139,2018-11-22,Aavishkaar-Intellecap Group,Investment,SME Funding,Mumbai,Teachers Insurance And Annuity Association,Equity Based Funding,31000000.0,260.4,2018,November
140,2018-11-22,Skillbox,Social Network,Art,Gurugram,Individual Investors,Seed Funding,0.0,0.0,2018,November
141,2018-11-23,Signzy,Financial Tech,Digital Onboarding Solution,Mumbai/Bengaluru,"Stellaris Venture Partners And Kalaari Capital, Rajan Anandan From Google, Dilip Khandwelwal From Sap Labs India, And Amrish Rau From Payu India",Series A,3400000.0,28.56,2018,November
142,2018-11-24,Engineer.ai,Software,AI Platform,India/US,"Lakestar And Jungle Ventures, Softbank\\Xe2\\X80\\X99S Deepcore.",Series A,29500000.0,247.8,2018,November
143,2018-11-25,InCred Finance,Finance,SME Lending,India,"Paragon Partners, Individual Investors",Private Equity,42000000.0,352.8,2018,November
144,2018-11-25,Roposo,Social Media,Video Sharing,New Delhi,Bertelsmann India Investments,Series B,1700000.0,14.28,2018,November
145,2018-10-01,Northmist,Fashion,Mens Wear,New Delhi,Prashant Jaiswal,Seed/ Angel Funding,0.0,0.0,2018,October
146,2018-10-02,Origo Commodities India Pvt. Ltd,Logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian And Hivos-Triodos Fund",Seed/ Angel Funding,11000000.0,92.4,2018,October
147,2018-10-04,Grover Zampa,Food,Wine,Mumbai,Ravi Viswanathan,Private Equity,8200000.0,68.88,2018,October
148,2018-10-05,Droom,Automobile,New and Used Cars Platform,Gurugram,Zigexn,Series E,3000000.0,25.2,2018,October
149,2018-10-11,Innov8,Real Estate,Co-Working,New Delhi,Credence Family Office,Pre-Series A,4000000.0,33.6,2018,October
150,2018-10-12,Blackbuck,Logistics Tech,Largest Trucking Platform,Bengaluru,Sequoia Capital India,Private Funding,14680000.0,123.31,2018,October
151,2018-10-12,LetsTransport,Logistics Tech,Book Trucks Online,Bengaluru,Fosun International,Series C,12000000.0,100.8,2018,October
152,2018-09-01,Netmeds,Consumer Internet,Online Pharmacy Chain,Chennai,"Sistema Asia Fund, Sistema Jsfc And Tanncam Investment",Private Equity,35000000.0,294.0,2018,September
153,2018-09-03,Udaan,B2B Platform,Logistics and Shipping,Bengaluru,Dst Global And Lightspeed Venture Partners\\Xe2\\X80\\X99 Global Fund.,Private Equity,225000000.0,1890.0,2018,September
154,2018-09-03,Daily hunt,Consumer Internet,News and ebooks Mobile App\\xc2\\xa0,Bengaluru,Falcon Edge,Private Equity,6390000.0,53.68,2018,September
155,2018-09-04,3HCare,Healthcare,Healthcare Service Provider,New Delhi,Undisclosed,Seed / Angel Funding,1000000.0,8.4,2018,September
156,2018-09-04,HappyGoEasy,Consumer Internet,Online Travel Agecy,Gurugram,"Korea Investment Partners, Samsung And China-Based Citic Capital And Others",Private Equity,0.0,0.0,2018,September
157,2018-09-05,Nykaa,Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,Lighthouse,Private Equity,157200000.0,1320.48,2018,September
158,2018-09-05,Mad Street Den,Technology,Computer Vision And Artificial Intelligence (Ai) Platform,Chennai,Kddi\\Xc2\\Xa0,Private Equity,0.0,0.0,2018,September
159,2018-09-06,Dream11,Consumer Internet,Online Gaming Platform,Mumbai,"Tencent, Kalaari Capital And Private Equity Firm Multiples Alternate Asset Management",Private Equity,100000000.0,840.0,2018,September
160,2018-09-10,MamaEarth,Healthcare,Online Marketplace For Mother and Babycare Products,Gurugram,Stellaris Ventures & Others,Private Equity,4000000.0,33.6,2018,September
161,2018-09-11,AutoGrid,Technology,AI-Based Energy Optimisation and Control Provider,Bengaluru,"Clp Holdings Group, Innogy, \\Xc3\\X98Rstead, And Tenaska",Private Equity,32000000.0,268.8,2018,September
162,2018-09-11,Pharmeasy,Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,Innoven Capital,Debt Funding,5500000.0,46.2,2018,September
163,2018-09-11,Upwards,Fin-Tech,Online Micro Lending Marketplace,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,5000000.0,42.0,2018,September
164,2018-09-12,Kissht,Fin-Tech,Online lending Platform,Mumbai,"Vertex Ventures Southeast Asia And India And Sistema Asia Fund, Fosun Rz Capital, Ventureast, And Endiya Partners.\\N\\N",Private Equity,30000000.0,252.0,2018,September
165,2018-08-01,dishq,Food-Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bengaluru,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth And Artesian Venture Partners",Seed/ Angel Funding,400000.0,3.36,2018,August
166,2018-08-01,HealthFin,Finance,Patient Financing Platform,Pune,"Axilor, Sprout Venture Partners And Others",Seed/ Angel Funding,0.0,0.0,2018,August
167,2018-08-02,Samosa Labs,Consumer Internet,Social Media and Chat Entertainment Platform,Hyderabad,Xiaomi And Sequoia Capital India,Private Equity,7000000.0,58.8,2018,August
168,2018-08-03,ZiffyHomes,Consumer Internet,Online Home Rental Marketplace,Gurugram,Y Combinator,Private Equity,120000.0,1.01,2018,August
169,2018-08-07,My OmNamo,Consumer Internet,Holy Platform Offering Customised Puja Packages To Individuals and Corporates,Mumbai,Undisclosed,Seed/ Angel Funding,1000000.0,8.4,2018,August
170,2018-08-07,ShopX,Consumer Internet,Assisted E-commerce Platform,Bengaluru,Fung Strategic Holdings,Private Equity,35000000.0,294.0,2018,August
171,2018-08-07,MakeMyTrip,Consumer Internet,Online Travel Aggregator,Gurugram,Makemytrip Limited,Private Equity,10000000.0,84.0,2018,August
172,2018-08-08,Hansel io,Consumer Internet,Real-time Mobile App Management,Bengaluru,Vertex Ventures,Seed/ Angel Funding,4000000.0,33.6,2018,August
173,2018-08-08,Metro Bikes,Consumer Internet,Online Bike Rental Marketplace,Bengaluru,"Sequoia Capital India Advisors, Accel Partners And G Raghunandan",Private Equity,12200000.0,102.48,2018,August
174,2018-08-08,Phone Pe,Consumer Internet,UPI Payments App,Bengaluru,Flipkart,Private Equity,66000000.0,554.4,2018,August
175,2018-08-09,quizizz,Ed-Tech,e-learning Platform,Bengaluru,"Nexus Venture Partners, Prime Venture Partners And Others",Seed/ Angel Funding,3000000.0,25.2,2018,August
176,2018-08-09,Happy EMI,Fin-Tech,Consumer Financing Platform,Bengaluru,Aj Ventures And Jain International Trade Organisation,Seed/ Angel Funding,1000000.0,8.4,2018,August
177,2018-08-13,Inthree,Consumer Internet,Rural E-commerce Platform,Chennai,"Ventureast, Orios Venture Partners And The Ian Fund",Seed/ Angel Funding,4000000.0,33.6,2018,August
178,2018-08-13,Observe AI,Technology,AI Based Solutions Platform,Bengaluru,"Nexus Venture Partners, Mgv, Liquid 2 Ventures, Hack Vc, Emergent Ventures And Y Combinator",Private Equity,8000000.0,67.2,2018,August
179,2018-08-16,Enakshi,Consumer Internet,AI Based Solutions Platform,Ahemadabad,Undisclosed,Seed/ Angel Funding,114811.0,0.96,2018,August
180,2018-08-17,EazyDiner,Consumer Internet,Online Restaurant Table Reservation Platform,Gurugram,Denlow Investment Trust And Beenext,Private Equity,5850000.0,49.14,2018,August
181,2018-08-20,Finzy,Finance,Online Loan Matchmaking Platform,Bengaluru,Undisclosed,Seed / Angel Funding,1000000.0,8.4,2018,August
182,2018-08-20,RawPressery,Consumer Internet,Online Organic Juice Delivery Service,Mumbai,Alteria Capital,Debt Funding,4800000.0,40.32,2018,August
